gold_id,action_type,requirement_name,requirement_detail,source_task2_ids,source_atomic_ids,sources,processing_type,merge_basis,quality_status
GOLD-066,관리,이종 HPC 워크로드 유형별 분류·자원 우선순위·처리방식 정의,이종 HPC 워크로드 유형별 분류와 계산 자원 특성에 따른 실행 우선순위 및 처리방식을 정의하여야 한다.,T2-000089,SFR-014::SFR-014-001,SFR-014,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-067,처리,워크로드 로그·이력·특성·자원 상태 기반 최적 실행 계획 계산,워크로드 실행 로그와 이력 데이터를 기반으로 자원 사용 패턴을 분석하고 워크로드 특성과 클러스터 자원 상태를 반영하여 최적화된 실행 계획을 계산하여야 한다.,T2-000090,SFR-014::SFR-014-002; SFR-014::SFR-014-003,SFR-014,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-068,산출,최적화 워크로드 스케줄링 정책 생성·자동 배포·변경 이력 추적,생성된 워크로드 스케줄링 정책을 자동으로 배포하고 변경 이력을 추적·관리하여야 한다.,T2-000091,SFR-014::SFR-014-004,SFR-014,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-069,처리,동적 자원 변화에 따른 스케줄링 정책 재계산·재적용,동적 자원 변화에 따라 스케줄링 정책을 재계산하고 재적용하여야 한다.,T2-000092,SFR-014::SFR-014-005,SFR-014,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-070,관리,서비스 유형별 자원 요구 특성 정의,"서비스 유형별로 자원 요구 특성을 정의하여야 하며, 어플리케이션 또는 서비스 유형을 포함하여야 한다.",T2-000093,SFR-015::SFR-015-001,SFR-015,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-071,관리,서비스 자원 조합·성능·변경 이력 관리,"VM, Container, BM 등 자원 조합을 사전 구성한 카탈로그를 관리하고 서비스 실행 시 사용된 자원의 구성, 성능 및 변경 이력을 추적·관리하여야 한다.",T2-000094,SFR-015::SFR-015-002; SFR-015::SFR-015-003,SFR-015,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-072,처리,서비스 유형별 자원 자동 프로비저닝·컨테이너 배포,서비스 유형별 최적 자원을 자동으로 프로비저닝하고 컨테이너 기반 서비스를 위한 최적화된 리소스를 추천·선택하여 자동으로 컨테이너를 생성·배포하여야 한다.,T2-000095,SFR-015::SFR-015-004; SFR-015::SFR-015-005,SFR-015,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-073,처리,고전 알고리즘 자동 매핑,"고전 알고리즘을 양자 알고리즘으로 자동 매핑하여야 하며, 고전 알고리즘과 양자 알고리즘의 매핑 규칙을 포함하여야 한다.",T2-000096,SFR-016-001; SFR-016::SFR-016-001,SFR-016,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-074,제공,양자 게이트 세트 지원,"다양한 양자 게이트 세트를 지원하여야 하며, 게이트 세트의 종류와 사용 범위를 포함하여야 한다.",T2-000097,SFR-016-002; SFR-016::SFR-016-002,SFR-016,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수 결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-075,처리,양자 회로 최적화 컴파일,"양자 회로 최적화를 위한 단계별 컴파일을 수행하여야 하며, 컴파일 단계와 최적화 기준을 포함하여야 한다.",T2-000098,SFR-016-003; SFR-016::SFR-016-003,SFR-016,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-076,처리,게이트 융합·단순화,"게이트 융합 및 단순화를 통한 실행 시간 최적화를 수행하여야 하며, 융합·단순화 규칙과 실행 시간 최적화 결과를 포함하여야 한다.",T2-000099,SFR-016::SFR-016-004,SFR-016,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,REVIEW_REQUIRED
GOLD-077,제공,진폭·기저 인코딩,"진폭(Amplitude)과 기저(Basis) 인코딩을 제공하여야 하며, 인코딩 방식과 적용 범위를 포함하여야 한다.",T2-000100,SFR-016-005; SFR-016::SFR-016-005,SFR-016,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수 결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-078,제공,데이터 특성 기반 인코딩 추천,"데이터 특성에 따른 최적 인코딩 방식을 추천하여야 하며, 데이터 특성과 인코딩 추천 결과를 포함하여야 한다.",T2-000101,SFR-016-006; SFR-016::SFR-016-006,SFR-016,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수 결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-079,제공,큐비트 사용량 최소화 인코딩,"큐비트 사용량 최소화 인코딩 벤치마킹 전략을 제공하여야 하며, 큐비트 사용량 최소화 인코딩 전략과 적용 범위를 포함하여야 한다.",T2-000102,SFR-016-007; SFR-016::SFR-016-007,SFR-016,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수 결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-080,분석,양자 측정 통계 분석,"양자 상태 측정 결과의 통계 분석을 수행하여야 하며, 통계 분석 결과와 적용 범위를 포함하여야 한다.",T2-000103,SFR-016-008; SFR-016::SFR-016-008,SFR-016,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-081,조회,샷기반 카운팅·확률 분포,"샷기반 카운팅 및 확률 분포 추정을 제공하여야 하며, 샷기반 카운팅과 확률 분포 추정 결과를 포함하여야 한다.",T2-000104,SFR-016::SFR-016-009,SFR-016,KEPT,문서 전체 TASK2 후보 임베딩 비교에서 설정 임계값 이상의 유사 후보가 없어 TASK2 내용을 그대로 보존함,REVIEW_REQUIRED
GOLD-082,처리,양자 노이즈·에러 필터링,"양자 노이즈 및 에러 필터링 메커니즘을 제공하여야 하며, 노이즈·에러 필터링 규칙과 적용 범위를 포함하여야 한다.",T2-000105,SFR-016-010; SFR-016::SFR-016-010,SFR-016,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수 결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-083,처리,양자 결과 고전 데이터 변환,"양자 결과를 고전 데이터 형식으로 변환하여야 하며, 변환 결과와 적용 범위를 포함하여야 한다.",T2-000106,SFR-016-011; SFR-016::SFR-016-011,SFR-016,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-084,처리,양자 결과 불확실성·신뢰구간,"결과 불확실성에 대한 정량화 및 신뢰구간을 제공하여야 하며, 불확실성 정량화와 신뢰구간 계산 결과를 포함하여야 한다.",T2-000107,SFR-016-012; SFR-016::SFR-016-012,SFR-016,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-085,조회,양자 결과 대시보드 시각화,"양자 결과의 대시보드 시각화를 제공하여야 하며, 시각화 대시보드와 결과를 포함하여야 한다.",T2-000108,SFR-016-013; SFR-016::SFR-016-013,SFR-016,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-086,분석,고전·양자 결과 비교 분석,"고전 데이터와 양자 결과 비교 분석 환경을 제공하여야 하며, 비교 분석 결과와 적용 범위를 포함하여야 한다.",T2-000109,SFR-016-014; SFR-016::SFR-016-014,SFR-016,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-087,제공,텐서 네트워크 기반 시뮬레이션,"텐서 네트워크 기반 시뮬레이션을 제공하여야 하며, 텐서 네트워크 시뮬레이션과 적용 범위를 포함하여야 한다.",T2-000110,SFR-016-015; SFR-016::SFR-016-015,SFR-016,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수 결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-088,제공,몬테카를로 샘플링 시뮬레이션,"몬테카를로 샘플링 시뮬레이션을 제공하여야 하며, 샘플링 시뮬레이션과 적용 범위를 포함하여야 한다.",T2-000111,SFR-016-016; SFR-016::SFR-016-016,SFR-016,유지,문서 전체에서 동일하거나 부분 중복·상위하위·보완 관계인 기능을 의미와 검수 결과를 기준으로 통합함.,REVIEW_REQUIRED
GOLD-089,제공,GPU·분산 HPC·희소 행렬 시뮬레이션,"GPU 가속, 분산 HPC, 희소 행렬 및 메모리 최적화를 지원하여야 하며, GPU·분산 HPC·희소 행렬 시뮬레이션과 메모리 최적화 결과를 포함하여야 한다.",T2-000112,SFR-016::SFR-016-017,SFR-016,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-090,처리,HPC 벤치마크 자원·환경 설정,지정된 자원과 환경 설정에 따라 HPC 벤치마크를 실행하여야 한다.,T2-000113,SFR-017::SFR-017-001,SFR-017,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-091,처리,HPC 벤치마크 로그 자동 수집,HPC 워크플로우 실행 전 벤치마크 로그를 자동으로 수집하여야 한다.,T2-000114,SFR-017-002; SFR-017::SFR-017-002,SFR-017,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-092,처리,HPC 벤치마크 메트릭 자동 기록,"프로세스 시작과 종료 시간, CPU, GPU, 메모리 및 I/O 사용률을 자동으로 기록하여야 한다.",T2-000115,SFR-017-003; SFR-017::SFR-017-003,SFR-017,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-093,처리,HPC 벤치마크 상태 로그 자동 수집,성공·실패 여부와 예외 발생 내역을 포함한 상태 로그를 자동으로 수집하여야 한다.,T2-000116,SFR-017-004; SFR-017::SFR-017-004,SFR-017,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-094,관리,HPC 벤치마크 로그 시계열 저장,수집된 로그와 메트릭 데이터를 시계열 기반으로 저장하여야 한다.,T2-000117,SFR-017-005; SFR-017::SFR-017-005,SFR-017,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-095,조회,HPC 벤치마크 로그 검색·필터링·정렬,"로그 데이터를 검색, 필터링 및 정렬하여 조회할 수 있어야 한다.",T2-000118,SFR-017-006; SFR-017::SFR-017-006,SFR-017,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-096,조회,HPC 벤치마크 관제 포털,관리자 및 사용자 권한에 따라 웹 기반 HPC 벤치마크 관제 포털을 제공하여야 한다.,T2-000119,SFR-017-007; SFR-017::SFR-017-007,SFR-017,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-097,조회,HPC 벤치마크 이력·구성정보 조회,각 벤치마크 작업의 상세 이력과 구성 정보를 조회할 수 있어야 한다.,T2-000120,SFR-017-008; SFR-017::SFR-017-008,SFR-017,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
GOLD-098,분석,HPC 벤치마크 자원 활용·병목 분석,자원 활용 효율성과 병목 지점을 시각화하여 분석하여야 한다.,T2-000121,SFR-017::SFR-017-009,SFR-017,유지,"수행대상, 핵심 수행행위, 결과 또는 적용 범위가 다른 요구사항과 구분되어 독립 검수 단위로 유지함.",REVIEW_REQUIRED
GOLD-099,산출,HPC 벤치마크 분석 리포트 생성·공유,"리포트를 표, 그래프 및 히트맵으로 생성하고 PDF와 HTML로 내보내며 이메일 또는 시스템에서 공유할 수 있어야 한다.",T2-000122,SFR-017-010; SFR-017::SFR-017-010,SFR-017,유지,"수행대상, 핵심 수행행위, 기능 결과, 검수 방식 또는 적용 조건이 다른 독립 요구사항으로 유지함.",REVIEW_REQUIRED
